"Org Name","EIN","Current FY Start","Current FY End","Ruling Year","Form Year","Form Type","Address Line 1","Address Line 2","City","State","County",Zip,"Org Phone Number","Web Address","IRS Subsection","Subject Area 1","Subject Area 2","Subject Area 3","NTEE Code","NAICS Code","SIC Code1","SIC Code2","Audit Required?","Has filed 990T?","Paid Preparer Firm Name","Link to GS Profile Page","Link to most recent Form 990","Total Assets","Cash & Equivalent","Investments Securities","Net Assets","Temporarily Restricted Net Assets","Permanently Restricted Net Assets","Unrestricted Net Assets","Total Revenue","Gross Receipts","Investment Income","Total Contributions","Government Grants","Special Events","Sales","Program Services Revenue","Total Liabilities","Loans and Notes","Tax-Exempt Bond Liabilities","Total Expenses","Total Program Expenses","Total Administrative Expenses","Total Fundraising Expenses","Accounting Fees","Advertising Expenses","Information Technology Expenses","Insurance Expenses","Interest Expenses","Investment Management Fees","Legal Fees","Pension Plan Contributions   Employee Benefits","Printing and Publications","Professional Fundraising Expenses","Principal Officer","Org Leader","Primary Contact Name","Primary Contact Title","Primary Contact Email","Number of Employees"
"Association for the Community Parent Center Inc","11-0275007","2018-07-01","2019-06-30","1991","2018","990EZ","1260 Meadowbrook Rd","","Merrick","NY","Nassau",="11566","516-771-9346","","501(c)(3) Public Charity","Parent education","","","T70 (Fund Raising Organizations That Cross Categories includes Community Funds/Trusts and Federated Giving Programs) e.g. United Way)","813219","8399","","","","KYLE F. LESTER, CPA, PC","http://www.guidestar.org/profile/11-0275007","http://www.guidestar.org/FinDocuments/2019/110/275/2019-110275007-111bd484-Z.pdf","$90,003","$90,003","","$88,378","","","","$148,408","$148,408","","$148,408","","","","","$1,625","","","$186,977","","","","","","","","","","","","","","","","","","",""
"The Urban Assembly, Inc.","11-0332039","2017-09-01","2018-08-31","1991","2017","990","90 Broad St Ste 2101","","New York","NY","New York",="10004","(212) 28673060","http://urbanassembly.org/","501(c)(3) Public Charity","Elementary and secondary education","Out-of-school learning","College preparation","S31 (Urban, Community)","813410","8641","8699","N","Y","CONDON O'MEARA MCGINTY & DONNELLY LLP","http://www.guidestar.org/profile/11-0332039","http://www.guidestar.org/FinDocuments/2018/110/332/2018-110332039-10f9692b-9.pdf","$2,165,941","$1,443,600","","$1,655,098","$1,881,830","","-$226,732","$5,242,311","$5,324,156","$2,637","$3,659,872","","$52,613","","$1,527,189","$510,843","$0","","$5,087,805","$3,434,248","$1,320,417","$333,140","$113,026","$5,527","$42,970","$9,809","","","","$18,421","","$10,492","KRISTEN KEARNS-JORDAN","Richard Kahan ","Jeremy Gough ","","jgough@urbanassembly.org","115"
"Manhattan Group for Equal Access C/O Epstein Hus & Well","11-0339107","","","1991","","","225 Broadway Rm 1203","","New York","NY","New York",="10007","","","501(c)(3) Public Charity","Education","","","B19 (Nonmonetary Support N.E.C.)","813219","8399","","","","","http://www.guidestar.org/profile/11-0339107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cherry Creek School District Parent Teacher Community Council Inc","11-0357300","","","1993","","","1433 S Oakland St","","Aurora","CO","Arapahoe",="80012","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-0357300","http://www.guidestar.org/FinDocuments/2010/110/357/2010-110357300-069b4012-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A & M Consolidated Choirs Booster Club Inc","11-0474147","2018-07-01","2019-06-30","2016","2018","990EZ","1801 Harvey Mitchell Pkwy S","","College Station","TX","Brazos",="77840","979-764-5500","","501(c)(3) Public Charity","Secondary education","","","I11 (Single Organization Support)","813219","8399","","","N","","http://www.guidestar.org/profile/11-0474147","http://www.guidestar.org/FinDocuments/2019/110/474/2019-110474147-17099344-Z.pdf","$11,426","$11,426","","$11,426","","","","$31,157","$40,197","$0","$8,686","","$22,471","","$0","$0","","","$25,146","","","","","","","","","","","","","","","","","","",""
"Amityville Cemetery Association","11-0479870","2018-01-01","2018-12-31","1943","2018","990","1a Saltbox Path","","Amityville","NY","Suffolk",="11701","631-264-3317","","501(c)(13) (Cemetery Companies)","Cemeteries and burial services","","","Y50 (Cemeteries and Burial Services)","812220","6531","6553","","","HOGAN & GRAHAM","http://www.guidestar.org/profile/11-0479870","http://www.guidestar.org/FinDocuments/2018/110/479/2018-110479870-10d3a90d-9O.pdf","$10,553,423","$405,971","$9,764,878","$10,551,863","","$6,951,149","$3,600,714","$1,203,866","$3,695,403","$332,299","","","","","$487,824","$1,560","$0","","$732,820","$486,612","$246,208","$0","$6,650","","","$13,271","","","","$1,145","","","","","","","","2"
"The Fund for Public Advocacy Inc","11-0576704","","","2002","","","1 Centre St Ofc of","","New York","NY","New York",="10007","","","501(c)(3) Public Charity","Human services","","","P20 (Human Service Organizations)","624190","8322","","","","","http://www.guidestar.org/profile/11-0576704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cedar Grove Cemetery Association","11-0613430","2019-01-01","2019-12-31","1972","2019","990","PO BOX 520228","","FLUSHING","NY","Queens",="11352","718-939-9405","WWW.THECEDARGROVECEMETERY.COM","501(c)(13) (Cemetery Companies)","Cemeteries and burial services","","","Y50 (Cemeteries and Burial Services)","812220","6531","6553","N","","SCHULMAN LOBEL ET AL LLP","http://www.guidestar.org/profile/11-0613430","http://www.guidestar.org/FinDocuments/2018/110/613/2018-110613430-10a442ae-9O.pdf","$368,609,853","$2,470,452","$364,854,074","$368,043,267","","","$48,842,247","$21,806,707","$71,158,217","$10,514,946","","","","","$4,178,007","$566,586","$0","","$9,817,622","","","","$120,900","","","$607,270","","","$94,304","","","","ADAM GINSBERG","","","","","139"
"Cedar Lawn Cemetary Association","11-0613467","2018-01-01","2018-12-31","1937","2018","990","PO Box 45","","East Hampton","NY","Suffolk",="11937","631-725-0373","N/A","501(c)(13) (Cemetery Companies)","Cemeteries and burial services","","","Y50 (Cemeteries and Burial Services)","812220","6531","6553","N","","MARKOWITZ FENELON & BANK LLP","http://www.guidestar.org/profile/11-0613467","http://www.guidestar.org/FinDocuments/2018/110/613/2018-110613467-17028519-9O.pdf","$2,937,362","$324,327","$2,557,460","$2,919,977","$161,406","$2,344,357","$414,214","$259,326","$481,233","$49,066","$82,972","","","","$82,274","$17,385","$0","","$143,537","$118,197","$25,340","$0","$16,395","","","$5,045","","","","","","","JAMES M STRONG III","","","","","3"
"Boy Scouts of America","11-1631834","2018-01-01","2018-12-31","1965","2018","990","7 Scouting Blvd","","Medford","NY","Suffolk",="11763","631-924-7000","http://www.sccbsa.com","501(c)(3) Public Charity","Scouting programs","","","O41 (Boy Scouts)","813410","8641","8699","N","N","NAWROCKI SMITH LLP","http://www.guidestar.org/profile/11-1631834","http://www.guidestar.org/FinDocuments/2018/111/631/2018-111631834-1110a107-9.pdf","$1,936,046","$979,948","$0","$1,322,475","$264,950","","$1,057,525","$2,339,349","$2,873,115","$25,000","$850,601","","$191,479","$223,498","$821,631","$613,571","$0","","$2,134,826","$1,926,437","$59,424","$148,965","$0","$0","$0","$104,177","$0","$0","$0","$0","","$0","Ryan A DiBernardo","","Mr. Kenneth D'Apice ","","mmoshier@netbsa.org","72"
"Edith and Carl Marks Jewish Community House of Bensonhurst Inc","11-1633484","2018-07-01","2019-06-30","1940","2018","990","7802 Bay Pkwy","","Brooklyn","NY","Kings",="11214","(718) 331-6800","www.jchb.org","501(c)(3) Public Charity","Employment","Youth organizing","Human services","P20 (Human Service Organizations)","624190","8322","","Y","","COHNREZNICK LLP","http://www.guidestar.org/profile/11-1633484","http://www.guidestar.org/FinDocuments/2018/111/633/2018-111633484-10596d18-9.pdf","$13,992,203","$1,179,205","$2,128,657","$11,724,857","$214,542","$219,184","$11,291,131","$11,222,764","$11,222,764","$169,395","$8,082,456","$4,063,299","","","$2,966,622","$2,267,346","$0","","$10,735,748","$9,443,128","$1,057,159","$235,461","$223","$56,473","","$220,953","","$31,937","","$213,845","","","ALEX BUDNITSKY","Mr Alex Budnitsky ","Mr Alex Budnitsky ","CEO/Executive Director","Alex@jchb.org","358"
"Friends Academy","11-1633485","2017-07-01","2018-06-30","1934","2017","990","Duck Pond Rd  Locust Valley Ny 11560-2429","","Locust Valley","NY","Nassau",="11560","516-676-0393","www.fa.org","501(c)(3) Public Charity","Secondary education","","","B20 (Elementary, Secondary Ed)","611110","8211","","","","BKD LLP","http://www.guidestar.org/profile/11-1633485","http://www.guidestar.org/FinDocuments/2018/111/633/2018-111633485-10610431-9.pdf","$106,627,980","$4,486,583","$59,435,422","$86,051,628","$1,125,253","$1,739,799","$83,186,576","$31,301,505","$34,973,705","$1,234,885","$3,414,420","$427,657","$253,464","$0","$26,343,144","$20,576,352","$0","$10,473,613","$30,341,951","$25,643,288","$3,730,414","$968,249","$0","$58,743","$0","$344,982","$290,417","$13,928","$0","$716,364","","$0","ANN MARIE TIDONA","","","","","376"
"The Packer Collegiate Institute","11-1633522","2017-07-01","2018-06-30","1938","2017","990","170 Joralemon St","","Brooklyn","NY","Kings",="11201","718-250-0336","www.packer.edu","501(c)(3) Public Charity","Education services","Elementary and secondary education","","B90 (Educational Services and Schools - Other)","611710","8299","8748","N","Y","PKF O'CONNOR DAVIES LLP","http://www.guidestar.org/profile/11-1633522","http://www.guidestar.org/FinDocuments/2018/111/633/2018-111633522-10da514a-9.pdf","$135,977,011","$26,896,382","$42,414,740","$87,661,835","$5,847,019","$16,787,336","$65,027,480","$56,861,438","$58,091,016","$997,928","$6,871,050","$942,941","$24,600","","$48,072,296","$48,315,176","$0","$22,275,191","$49,403,940","$39,582,497","$8,175,272","$1,646,171","$51,420","$29,662","$396,355","$330,965","$132,836","$110,493","$110,987","$1,422,005","","$20,000","DR BRUCE L DENNIS","Dr. Jennifer Weyburn ","Dr. Jennifer Weyburn ","Head of School","jweyburn@packer.edu","459"
"HeartShare Human Services of New York","11-1633549","2018-07-01","2019-06-30","2014","2018","990","12 Metrotech Ctr Fl 29","","Brooklyn","NY","Kings",="11201","(718) 422-4200","www.heartshare.org","501(c)(3) Public Charity","Human services","Developmental disability services","","P99 (Human Services - Multipurpose and Other N.E.C.)","624190","8322","","N","","BKD LLP","http://www.guidestar.org/profile/11-1633549","http://www.guidestar.org/FinDocuments/2018/111/633/2018-111633549-1169ef6a-9.pdf","$56,218,363","$1,178,983","$0","$11,074,807","$537,959","$0","$10,536,848","$102,427,263","$102,780,707","$227","$1,120,017","","-$206,924","$0","$95,614,193","$45,143,556","$19,521,870","$0","$102,815,902","$86,516,989","$15,851,818","$447,095","$636,059","$0","$133,009","$1,592,141","$581,622","$0","$553,422","$1,985,367","","$0","WILLIAM R GUARINELLO","Mr. William Robert Guarinello ","Mr. Larry Closs ","Director of Communications and Marketing","larry.closs@heartshare.org","2336"
"Green Vale School","11-1633568","2018-07-01","2019-06-30","1931","2018","990","250 Valentines Ln","","Glen Head","NY","Nassau",="11545","516-621-2420","WWW.GREENVALESCHOOL.ORG","501(c)(3) Public Charity","Elementary and secondary education","","","B20 (Elementary, Secondary Ed)","611110","8211","","N","","ALBRECHT VIGGIANO ZURECK & CO PC","http://www.guidestar.org/profile/11-1633568","http://www.guidestar.org/FinDocuments/2019/111/633/2019-111633568-17070559-9.pdf","$60,187,105","$2,161,816","$28,890,175","$55,711,985","$4,680,082","$4,881,851","$46,150,052","$16,997,700","$22,516,789","$821,914","$2,316,605","$227,592","$307,836","","$13,429,592","$4,475,120","$0","","$16,593,982","$13,942,400","$2,367,519","$284,063","$56,330","","","$168,639","","","$3,516","$459,355","","","JESSE DOUGHERTY EDD","","","","","183"
"CONGREGATION ETZ CHAIM OF FLATBUSH INC","11-1633573","","","1952","","","1649 E 13th St","","Brooklyn","NY","Kings",="11229","(718) 339-4886","https://www.etzchaimofflatbush.com","501(c)(3) Public Charity","Education","Religion","Judaism","X30 (Jewish)","813110","8661","","","","","http://www.guidestar.org/profile/11-1633573","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mr. Jack Plushnick ","Ms. Malka Weber ","Office Secretary","congetzchaim@optonline.net",""
"Children's House, Inc.","11-1667638","","","1942","","","100 E Old Country Rd","","Mineola","NY","Nassau",="11501","","","501(c)(3) Public Charity","Youth services","","","P30 (Children's and Youth Services)","624110","8322","","","","","http://www.guidestar.org/profile/11-1667638","http://www.guidestar.org/FinDocuments/2000/111/667/2000-111667638-1-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New York Armenian Home Inc","11-1733759","2018-01-01","2018-12-31","1950","2018","990","PO Box 754098","","Forest Hills","NY","Queens",="11375","917-579-5857","","501(c)(3) Public Charity","Senior assisted living","","","P75 (Senior Continuing Care Communities)","623311","8051","8052","N","","JT SHULMAN & COMPANY PC","http://www.guidestar.org/profile/11-1733759","http://www.guidestar.org/FinDocuments/2018/111/733/2018-111733759-17119782-9.pdf","$49,803,791","$47,744,377","$1,753,578","$49,755,793","","","$49,755,793","$47,664,161","$51,554,985","$476,435","$58,710","","","","$107,645","$47,998","$0","","$979,362","$845,139","$134,223","$0","$40,000","","","$51,585","","","$204,436","","","","NEIRI AMERIAN","","","","","26"
"Jewish War Veterans of the United States of America Inc","11-1744931","","","1967","","","1032 E 81st St","","Brooklyn","NY","Kings",="11236","","","501(c)(4) (Civic Leagues and Social Welfare Organizations)","Special population support","","","W30 (Military/Veterans' Organizations)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-1744931","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yeshivos Karlin Stolin Beth Aron Veisrael Rabbinical Institute Inc","11-1752027","","","1953","","","1818 54th St","","Brooklyn","NY","Kings",="11204","","","501(c)(3) Public Charity","Elementary and secondary education","","","B20 (Elementary, Secondary Ed)","611110","8211","","","","","http://www.guidestar.org/profile/11-1752027","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastport Cemetery Association Inc","11-1774468","","","1953","","","PO Box 2","","Eastport","NY","Suffolk",="11941","","","501(c)(13) (Cemetery Companies)","Cemeteries and burial services","","","Y50 (Cemeteries and Burial Services)","812220","6531","6553","","","","http://www.guidestar.org/profile/11-1774468","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UNITED LUBAVITCHER YESHIVOTH","11-1797198","","","1954","","","841 Ocean Pkwy","","Brooklyn","NY","Kings",="11230","(718) 859-7600","www.ulyop.com","501(c)(3) Public Charity","Elementary education","Youth services","Elementary and secondary education","B24 (Primary/Elementary Schools)","611110","8211","","","","","http://www.guidestar.org/profile/11-1797198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rabbi Shmuel Dechter ","Rabbi Shmuel Dechter ","Principal/Administrator","RSD841@yahoo.com",""
"Water Mill Beach Club Inc","11-1874645","2019-01-01","2019-12-31","1939","2019","990","106 PROSPECT STREET","","WATER MILL","NY","Suffolk",="11976","631-283-2370","N/A","501(c)(7) (Social and Recreation Clubs)","Human services","","","N50 (Recreational, Pleasure, or Social Club)","713990","7911","7993","N","","SABEL & OPLINGER CPA PC","http://www.guidestar.org/profile/11-1874645","http://www.guidestar.org/FinDocuments/2018/111/874/2018-111874645-16996650-9O.pdf","$1,434,616","$40,552","$0","$1,348,729","","","$1,348,729","$536,043","$540,754","$59","$0","","$0","-$1,083","$535,962","$85,887","$79,825","","$511,224","$0","$0","$0","$3,725","$40","$0","$45,578","$7,098","$0","$9,555","$0","","$0","JOHN ERWIN","","","","","11"
"Society of St Vincent De Paul in Diocese of Rockville Centre","11-1884961","2017-10-01","2018-09-30","2009","2017","990","249 Broadway","","Bethpage","NY","Nassau",="11714","(516) 822-3132","www.svdpli.org","501(c)(3) Public Charity","Basic and emergency aid","Thrift shops","Homeless shelters","P29 (Thrift Shops)","624190","8322","","N","","DEMARCO & NESI CPAS LLC","http://www.guidestar.org/profile/11-1884961","http://www.guidestar.org/FinDocuments/2018/111/884/2018-111884961-107a4e84-9.pdf","$6,112,610","$700,282","$1,607,379","$4,650,228","$22,487","$0","$4,627,741","$6,535,507","$6,570,882","$69,673","$638,680","$141,230","$40,291","$0","$5,786,863","$1,462,382","$1,154,452","$0","$6,468,125","$5,266,974","$981,727","$219,424","$35,975","$57,074","$0","$141,518","$78,471","$0","$2,516","$150,083","","$0","ROBERT MEEKINS","Mr. Thomas Abbate ","Memory Kershaw ","Development Director","info@svdpli.org","103"
"Society of St Johnland","11-1890580","2018-01-01","2018-12-31","1935","2018","990","395 Sunken Meadow Rd","","Kings Park","NY","Suffolk",="11754","631-269-5800","WWW.STJOHNLAND.ORG","501(c)(3) Public Charity","Health","Nursing homes","","E11 (Single Organization Support)","813219","8399","","N","","BKD LLP","http://www.guidestar.org/profile/11-1890580","http://www.guidestar.org/FinDocuments/2018/111/890/2018-111890580-17037854-9.pdf","$21,687,020","$491,428","$12,297,833","$21,657,785","$0","$7,432,488","$14,225,297","-$351,292","$7,355,715","$769,450","$247,721","","-$13,663","$0","$173,703","$29,235","$0","$0","$1,172,845","$386,477","$479,082","$307,286","$23,400","$21,667","$0","$40,431","$0","$71,583","$43,200","$20,520","","$0","MARY JEAN WEBER","","","","","8"
"Honor Emergency Fund of the Fire Department of the City of New York","11-1969467","2018-09-01","2019-08-31","1924","2018","990","9 Metrotech Ctr # 5e-43k","","Brooklyn","NY","Kings",="11201","718-999-2531","N/A","501(c)(3) Public Charity","Philanthropy","Human services","","Y44 (Voluntary Employees Beneficiary Associations (Government))","813410","8641","8699","N","","PKF O'CONNOR DAVIES LLP","http://www.guidestar.org/profile/11-1969467","http://www.guidestar.org/FinDocuments/2018/111/969/2018-111969467-1073c5d8-9.pdf","$19,468,768","$93,469","$19,363,964","$19,281,359","","","$19,281,359","$1,395,186","$5,939,774","$690,856","$42,455","","","","","$187,409","$0","","$900,153","$454,084","$446,069","$0","$32,000","$1,315","","$11,154","","$74,462","","","","","STANLEY REIMER","","","","","3"
"Madonna Residence Inc","11-1982068","","","1946","","","600 Woods Rd","","Germantown","NY","Columbia",="12526","","","501(c)(3) Public Charity","Nursing homes","","","E91 (Nursing, Convalescent (Geriatric and Nursing))","623110","8051","8052","","","","http://www.guidestar.org/profile/11-1982068","http://www.guidestar.org/FinDocuments/2004/111/982/2004-111982068-1-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Martin Luther School","11-1985387","","","2006","","","6002 Maspeth Ave","","Maspeth","NY","Queens",="11378","","","501(c)(3) Public Charity","Elementary and secondary education","","","B20 (Elementary, Secondary Ed)","611110","8211","","","","","http://www.guidestar.org/profile/11-1985387","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"National Council of Young Israel","11-1990957","","","1952","","","8475 Daniels St","","Jamaica","NY","Queens",="11435","","","501(c)(3) Public Charity","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/11-1990957","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Religious School of Temple Emanuel Inc","11-1993238","","","1960","","","3315 Hillside Ave","","New Hyde Park","NY","Nassau",="11040","","","501(c)(3) Public Charity","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/11-1993238","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Unity Center of Flushing","11-2068135","","","1970","","","4211 155th St","","Flushing","NY","Queens",="11355","","","501(c)(3) Public Charity","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/11-2068135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Human Resources Center of St Albans Inc","11-2069848","","","1975","","","17217 Linden Blvd","","Jamaica","NY","Queens",="11434","","","501(c)(3) Public Charity","Elementary and secondary education","","","B20 (Elementary, Secondary Ed)","611110","8211","","","","","http://www.guidestar.org/profile/11-2069848","http://www.guidestar.org/FinDocuments/2008/112/069/2008-112069848-04d666a8-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"National Council of Negro Women Local Council of North Queens","11-2072324","","","1966","","","2311 96th St","","East Elmhurst","NY","Queens",="11369","","","501(c)(3) Public Charity","Women's rights","","","R24 (Women's Rights)","813311","8399","","","","","http://www.guidestar.org/profile/11-2072324","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"National Council of Young Israel","11-2073459","","","1952","","","PO Box 1014","","Loch Sheldrake","NY","Sullivan",="12759","","","501(c)(3) Public Charity","Shelter and residential care","","","L99 (Other Housing, Shelter N.E.C.)","624229","8322","","","","","http://www.guidestar.org/profile/11-2073459","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ancient Order of Hibernians in America","11-2076403","","","1945","","","PO Box 1064","","Rockville Centre","NY","Nassau",="11571","","","501(c)(8) (Fraternal Beneficiary Societies)","Education","","","","","","","","","","http://www.guidestar.org/profile/11-2076403","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
