Org Name,Total Assets,Total Revenue,Number of Employees
MAKOR DISABILITY SERVICES,24336856.0,35051360.0,805.0
Park House Inc Po Box 982,3145802.0,1648687.0,36.0
American Center for Senior Citizen Services,144010.0,487067.0,10.0
Harleycare Inc,262764.0,545684.0,32.0
Emerald Isle Immigration Center Inc,1285390.0,1499506.0,36.0
OPPORTUNITIES FOR A BETTER TOMORROW INC,1676032.0,7836948.0,140.0
Hands On Sign Interpreted Performances Inc,18535.0,116474.0,0.0
Survivors of the Shield INC,262170.0,197748.0,0.0
"New York City Relief, Inc.",785618.0,3739298.0,36.0
East Hampton Meals On Wheels Inc,932169.0,229795.0,3.0
St Marks Senior Citizens Housing Development Fund Corp,3590802.0,798407.0,2.0
Grace Playschool Inc,128897.0,337172.0,15.0
American Friends of Migdal Torah Inc,102532.0,714822.0,0.0
Fiorello H Laguardia Community College Auxiliary Enterprises Corp,8705795.0,3009961.0,0.0
1049 Local Craft Div Skill Improvem,11697223.0,3241878.0,17.0
World of Discovery Day Camp of Queens Inc,208345.0,2286913.0,282.0
"Rock and Wrap It Up, Inc.",102414.0,351918.0,5.0
Brooklyn Child Care Inc,216576.0,400605.0,14.0
Housing Works East New York Housing Development Fund Company Inc,2000619.0,307185.0,0.0
Lexington Vocational Services Center Inc,533506.0,1877357.0,56.0
The Nassau-Suffolk School Boards Association,707995.0,416326.0,2.0
Ocl Properties Inc,498273.0,117082.0,0.0
National Action Network Inc,1262948.0,7313170.0,32.0
NOEL POINTER FOUNDATION INC,252169.0,1235132.0,34.0
New Way Circus Center Inc,418531.0,1068597.0,4.0
YOU GOTTA BELIEVE THE OLDER CHILD ADOPTION & PERMANENCY MOVEMENT,1864381.0,1468797.0,19.0
Peconic Landing at Southold Inc,150098466.0,29514405.0,385.0
Kids Orbit Inc,1192897.0,3048675.0,259.0
Razi School,107454.0,1225084.0,35.0
Am Friends of the Merav Foundation II Keren Merav,86150.0,170033.0,0.0
Paul Collins Jr Scholarship Plan,678689.0,138297.0,0.0
Our Lady of Consolation Nursing & Rehabilitative Care Center,42279971.0,56888142.0,683.0
Hoops for Hope Inc,64023.0,255751.0,0.0
American Friends of Yeshivat Imrei Datt Inc,41632.0,557922.0,0.0
Nassau-Suffolk Crematory Ltd,235211.0,682457.0,3.0
Mrc Housing Development Fund Company Inc,2171012.0,794471.0,1.0
Metropolitan Development Center Inc,2575805.0,2549979.0,175.0
Seymour Joseph Institute of American Sign Language Inc,0.0,12250.0,0.0
Cypress West Housing Development Fund Corporation,2113061.0,373936.0,0.0
Ahavas Chesed-Love of Kindness Inc,15836.0,1529423.0,4.0
American Friends of ORA Vesimcha,3729.0,506441.0,0.0
Battered Womens Resource Center Inc,130625.0,241849.0,3.0
Southampton Rotary Club Scholarship & Endowment Fund Inc,295931.0,51151.0,0.0
NATIONAL KOREAN AMERICAN SERVICE AND EDUCATION CONSORTIUM INC,1787972.0,2432676.0,21.0
After-School All-Stars of NYC Inc,41430.0,392796.0,1.0
Lido Sports School Inc,138792.0,148570.0,1.0
Childrens Choice Childcare Inc,8664.0,476244.0,23.0
Habitat for Humanity of Peconic,705618.0,16807.0,0.0
Yeshivat Ohel Torah,1994915.0,2427701.0,46.0
Hayground School Inc,3672042.0,3166983.0,192.0
Ozanam Geriatric Foundation,2475386.0,1256531.0,0.0
American Friends of Nehora Inc,4030.0,320500.0,0.0
E D P School of Computer Programing,668206.0,765956.0,0.0
Childrens Law Center,1677936.0,10159129.0,103.0
A Torah Infertility Medium of Exchange,949301.0,3469092.0,11.0
Brooklyn Child and Family Services Inc,1038459.0,3473121.0,116.0
Community House Housing Development Fund Company Inc,4768608.0,1631154.0,0.0
Msgr Joseph F Stedman Residence Housing Development Fund Corporati,6407250.0,1181267.0,0.0
A Family Budget Counseling Inc,190732.0,333629.0,3.0
Top Development Corporation,3404088.0,137467.0,0.0
Keter Shlomo Foundation Inc,8674.0,249656.0,0.0
Multifunctional Family Services Inc,7584640.0,1656089.0,24.0
Anshe Maamed Foundation,13794.0,502084.0,0.0
Grassroots Environmental Education Inc,212665.0,284544.0,10.0
North Shore Hebrew Academy High School,51448977.0,12592727.0,126.0
Brooklyn Italian Youth Soccer Club Inc,90392.0,646429.0,0.0
Ovations Dance Repertory Corp,22846.0,171277.0,0.0
Tomchei Shabbos-Yad Yeshaya Inc,1299409.0,940491.0,0.0
Island Rehabilitation and Nursing Center Inc,14100700.0,17473028.0,303.0
Mlb Hilltop Health Care Facilities Inc,0.0,1108724.0,243.0
"Trey Whitfield School, Inc.",5149405.0,2663320.0,29.0
International Center for Transitional Justice,17640010.0,20370723.0,26.0
South Nassau Communities Hospital,383469.0,1342953.0,5.0
AL-Madinah School,2041557.0,5048598.0,136.0
Friends United Youth Center,59410.0,152129.0,0.0
Young Adults With Special Abilities Inc,157375.0,844866.0,18.0
Serenity Human Services,568985.0,2802066.0,203.0
American Friends of Yashiva Hagdolah Shar Hatorah Elad Inc,22675.0,66794.0,0.0
Agencies for Childrens Services On Long Island Inc,126509.0,277095.0,2.0
Arab American Association of NY Inc,679311.0,1316229.0,43.0
Bethpage Congress of Teachers Benefit Tr Plan Fund,236578.0,376183.0,0.0
American Academy in Rome,132584945.0,15717220.0,26.0
AMERICAN COMMITTEE FOR THE WEIZMANN INSTITUTE OF SCIENCE INC,773221000.0,108175000.0,79.0
State Executive Committee YMCA - State of NY,1660780.0,826094.0,0.0
Thessalonica Agricultural & Industrial Institute,73767807.0,18784382.0,18.0
Trustees of Phelps Stokes Fund,2309211.0,5448149.0,17.0
Union Theological Seminary,161354366.0,25778356.0,285.0
NAACP LEGAL DEFENSE & EDUC FUND INC,85457508.0,37292472.0,120.0
Saint Davids School,170261710.0,34318688.0,198.0
Freedom House Inc,7651969.0,48017381.0,160.0
Hartley House,856427.0,783307.0,25.0
Fresh Air Fund,140221179.0,15841861.0,727.0
LEXINGTON SCHOOL FOR THE DEAF,17804781.0,23612372.0,238.0
Manhattan School of Music,110314806.0,68728197.0,1318.0
National Association for Practical Nurse Education & Service,121049.0,31262.0,0.0
Service Employees 32Bj North Health Fund,39065272.0,45094147.0,0.0
Fair Ridge Cemetery Inc,569618.0,91854.0,1.0
Beth Abraham Services,37790824.0,4345851.0,0.0
Blythedale Childrens Hospital,227423108.0,87549070.0,627.0
"Dominican Sisters Family Health Service, Inc.",7714635.0,20297784.0,348.0
Frances Schervier Home & Hospital,51511416.0,58103920.0,613.0
Saint Dominics Family Services,26926519.0,55563516.0,1127.0
Rippowam Cisqua School Inc,66082502.0,21120502.0,186.0
College of Mount Saint Vincent,110488011.0,78588279.0,1073.0
Fordham University,2011382272.0,933528802.0,7845.0
Harvey School,27031134.0,19431726.0,246.0
Horace Mann School,413821196.0,130941444.0,621.0
Manhattanville College,90886500.0,94800304.0,1366.0
Riverdale Country School Inc,238932837.0,78227958.0,613.0
Rye Country Day School,152318925.0,48760334.0,345.0
WARTBURG HOME OF THE EVANGELICAL LUTHERAN CHURCH,50435346.0,39333125.0,917.0
YORKTOWN COMMUNITY NURSERY SCHOOL,104021.0,228257.0,6.0
The Young Womens Christian Assoc of Yonkers,1834225.0,1430649.0,40.0
Tarrytown Nursey School,113075.0,267455.0,8.0
Childrens Book Council Inc,112512.0,641773.0,8.0
Mount Hope Cemetery Association of Kings County New York,2820676.0,128274.0,0.0
The Consumer Goods Forum,15179601.0,17259378.0,4.0
St Davids Society of the State of New York,262279.0,5453.0,0.0
Rising Ground,60635836.0,105230875.0,1683.0
Jane Addams Peace Association Inc,2127124.0,43149.0,1.0
Alpha Omega International Dental Fr,411696.0,699116.0,3.0
Bikur Cholim of Manhattan Inc,482675.0,462177.0,0.0
Our Childrens Foundation Inc,1795905.0,978745.0,23.0
The Graduate Center Foundation Inc,57764005.0,11336179.0,23.0
SUNY Orange Foundation,19998320.0,1097278.0,6.0
American Friends of Nishmas Yisroel Inc,509433.0,119296.0,0.0
384 Grand Street Housing Development Fund Company Inc,3734847.0,848790.0,0.0
The Scarsdale Adult School,865652.0,730583.0,9.0
"Bronx Independent Living Services, Inc.",422005.0,1335968.0,42.0
Comm Opportunity Ctr of the Tarry Towns,307726.0,189850.0,3.0
Wjc Cemetery Association Inc,3437268.0,190545.0,0.0
National Council of Negro Women of Greater New York Inc,0.0,106317.0,6.0
Oliver Scholars,27599502.0,1738903.0,24.0
American Friends of Shvut Ami,43185.0,224807.0,3.0
The Lehman College Student Child Care Center Inc,922768.0,948895.0,0.0
Bmcc Early Childhood Center,2916878.0,1258749.0,31.0
Advertising Club of New York Foundation Inc,1198940.0,594950.0,0.0
Staten Island Center for Independent Living Inc,717651.0,577329.0,14.0
Bikur Cholim Staten Island Inc,222762.0,507967.0,0.0
"Avenues For Justice, Inc.",2381026.0,1520279.0,12.0
Herbert Lehman College Association for Campus Activities Inc,2453213.0,2526015.0,117.0
"Hope Program, Inc.",4218999.0,3583857.0,78.0
L H H Corporation,0.0,0.0,0.0
The American Austrian Foundation Inc,5029864.0,3287754.0,3.0
Ohr Torah Stone Institutions of ISR Ael,2329046.0,6174690.0,8.0
Thorpe Family Residence,0.0,392265.0,11.0
College Consortium for International Studies Inc,160128.0,323994.0,5.0
Parent Teacher Association of Public School 23,9187.0,216799.0,0.0
Ahrc NYC Properties Inc,717598.0,7818.0,0.0
International College of Acupuncture and Electro- Therapeut,12315.0,32777.0,0.0
The New School,1243478751.0,530009657.0,7424.0
"Laboratory for Icon & Idiom, Inc.",170141.0,269856.0,0.0
Heritage of Pride Inc,3836813.0,5066486.0,9.0
Greenwich Village Youth Council Inc,210439.0,586121.0,31.0
"The Evergreen Association, Inc. DBA Expectant Mother Care",406258.0,786624.0,12.0
"Institute for Community Living, Inc.",93182913.0,103691881.0,1405.0
"EIS - Eviction Intervention Services Homelessness Prevention, Inc.",128348.0,91715.0,2.0
Order of the Eastern Star Pounder Hall Inc,360951.0,1016710.0,0.0
Hudson Valley Community Services Inc.,11684015.0,9822960.0,146.0
Shore Icare,643093.0,161008.0,0.0
"Manhattan Youth Recreation and Resources, Inc.",14557290.0,18750751.0,1285.0
Jcc Rockland Inc,2897043.0,7121723.0,406.0
North Bronx National Council Negro Women Child Development Ctr Inc,509262.0,2223387.0,60.0
American Friends of Yeshivath Meor Hatalmud,5950.0,612362.0,0.0
The Rusty Staub Foundation Inc,431835.0,704206.0,1.0
"NY Police and Fire Widows & Children's Benefit Fund, Inc.",52153100.0,6171505.0,4.0
THE SUMMER CAMP INC,393698.0,630387.0,52.0
Ps 87 PA Inc,1362856.0,1992032.0,68.0
Presbyterian Homes Foundation Inc C/O Tobin and Dempf,2200405.0,400025.0,0.0
Fbiaa Memorial College Fund,10103885.0,1408775.0,0.0
Homes for the Homeless Inc,7418782.0,24991170.0,508.0
Riverstone Senior Life Services,460026.0,1839195.0,36.0
Major League Baseball,21092599.0,5173729.0,0.0
"I Have A Dream"" Foundation""",3183897.0,1673033.0,17.0
Hebrew Hospital Home Foundation Inc,26774288.0,0.0,0.0
Chemung County Child Care Council Inc,136726.0,1312750.0,15.0
Twenty First Century Foundation,0.0,7835.0,0.0
"God's Love We Deliver, Inc.",39704982.0,18290740.0,138.0
Msgr Robert Fox Memorial Shelter Fox House,423968.0,1154032.0,16.0
I Have A Dream Foundation - New York,429830.0,1902590.0,22.0
"The ASME Foundation, Inc.",25335656.0,5441199.0,0.0
Win Housing Development Fund Company Inc,782819.0,38470.0,3.0
Nysernetorg Inc,20131382.0,8770546.0,19.0
Depaul Bridgewell Inc,0.0,1218568.0,0.0
Mary Mitchell Family and Youth Center Inc,1605073.0,1319633.0,35.0
Community Impact,4558846.0,1753206.0,52.0
Depaul Adult Care Communties Inc,11272282.0,40736099.0,1347.0
COVENANT HOUSE CALIFORNIA,17246257.0,15072863.0,243.0
Rockland Teachers Center Institute,467297.0,1150843.0,11.0
"Manhattan Class Company, Inc.",19272698.0,14444085.0,194.0
"Fairness & Accuracy In Reporting, Inc.",609974.0,519151.0,3.0
Friends of Israel Disabled Veterans Inc Beit Halochem,6166874.0,4195180.0,4.0
American Foundation for Suicide Prevention,44710993.0,42370512.0,116.0
Cooke School and Institute,76928087.0,26437346.0,422.0
"The Elie Wiesel Foundation for Humanity, Inc.",8687987.0,746483.0,3.0
Greyston Family Inn of Yonkers Inc,223291.0,2187393.0,34.0
Cerebral Palsy Transport Inc,1074281.0,10311061.0,134.0
Walton Avenue Senior Housing Development Fund Company Inc,3472785.0,1418471.0,29.0
"Penn South Social Services, Inc.",1765671.0,1014495.0,3.0
Fit Alumni Association,1023070.0,123494.0,0.0
J G B Education Services,395361.0,4094289.0,40.0
Concourse House Housing Development Fund Company Inc,2977291.0,3363555.0,70.0
Milbank Housing Development Fund Corporation,0.0,466545.0,0.0
Aspire Inc,10041.0,193128.0,13.0
The Madison Avenue Fund for Children Inc,0.0,68405.0,0.0
THE AMERICAN FRIENDS OF BEIT ISSIE SHAPIRO INC,540295.0,1341562.0,4.0
Teatro Moderno Puertorriqueno Inc,-2820.0,75823.0,0.0
Yale Gay and Lesbian Alumniae Association Inc,4624.0,106967.0,0.0
"Carnegie East House Housing Development Fund Company, Inc.",23341817.0,6664622.0,46.0
"New York Cares, Inc.",9896932.0,10921613.0,113.0
John Heuss Corporation,327578.0,2404566.0,39.0
PEN American Center,9951939.0,9896899.0,41.0
Hawthorne Foundation Inc.,15542301.0,25339649.0,622.0
Jan and Niles Davies Learning Center,270526.0,1447207.0,48.0
James L Nuckolls Fund for the Education of the Lighting,2453351.0,259907.0,1.0
NYC Outward Bound Schools,11730947.0,6076130.0,89.0
Hunger Free America,1336778.0,2565915.0,116.0
Washington Square Village Creative Steps Play Group,0.0,217238.0,4.0
Aleph Society Inc,518801.0,1197552.0,3.0
United War Veterans Council Inc,292165.0,1866536.0,0.0
Association Nationale Des Senegalais D Amerique Inc,0.0,187603.0,0.0
100 Black Men of Greater Fort Lauderdale Inc,57733.0,34606.0,0.0
1056 Equities Inc,2940345.0,129.0,0.0
10 W 33 St Holding Corp,5716801.0,857238.0,0.0
100 Hispanic Women Inc,288008.0,77327.0,0.0
1035 Broadway Housing Development Fund Company Inc,602940.0,97188.0,0.0
100 East 182Nd Street Housing Development Fund Company Inc,528813.0,363181.0,0.0
1055 College Avenue Housing Development Fund Corp,769032.0,301280.0,0.0
1051 College Avenue Housing Development Fund Corp,437632.0,292239.0,0.0
100 Who Care Inc,78911.0,54192.0,0.0
10 East 15Th Street Realty Corporation,37305755.0,36733303.0,0.0
101 East 69Th Street Conservancy,171867.0,390205.0,0.0
10 10 10,22667.0,303412.0,3.0
100X Missions,402880.0,820655.0,1.0
100 Club of Amarillo Inc,573044.0,198524.0,0.0
1015 15Th Street Inc,124410117.0,9687910.0,0.0
100 Women Charitable Foundation Inc,164355.0,160477.0,0.0
"100 Mile Club, Inc.",219495.0,1158686.0,11.0
100 Black Men of New Jersey,9897.0,6427.0,0.0
100 Groton Parkway Inc,3325851.0,592094.0,0.0
101 Foundation Inc,1990501.0,587742.0,4.0
101 Inc,1257644.0,199148.0,0.0
101 CLUB INC,29350.0,52652.0,0.0
100 Club of Arizona,3056660.0,2333633.0,12.0
100 Club of Rhode Island Inc,989488.0,100085.0,0.0
1010 International Net Inc,451349.0,50966.0,0.0
100 Pine Street Investment Group L L C,4125671.0,74356213.0,0.0
1 1 1 One,38.0,10220.0,0.0
1 Sg Michael S Curry Memorial Foundation Inc,1224.0,31769.0,0.0
"100 Black Men of Long Beach, Inc.",0.0,42772.0,0.0
100 Black Men Capitol Charter Initiative,695446.0,4432412.0,52.0
101-105 South Eighth Street Apts Housing Development Fund Corp,4417811.0,315327.0,0.0
10 Women of Hope Inc,110414.0,85698.0,0.0
100 Acre Wood Daycare Inc,56019.0,522027.0,35.0
100 Black Men of Metro Lake Charles,1215.0,8691.0,0.0
10 40 Hope Missions Inc,18238.0,105626.0,1.0
100 Black Men of Greater South Bend Inc,322338.0,126615.0,0.0
1000 Jobs Haiti Inc,0.0,128119.0,0.0
1040 INITIATIVE,1094105.0,763735.0,3.0
1 Green Planet,0.0,282082.0,0.0
100 Women Strong Inc,22905.0,36170.0,0.0
100 FOLD STUDIO,372907.0,1211153.0,26.0
10 Thousand Windows,402280.0,672626.0,2.0
100 Urban Entrepreneurs Inc,343027.0,127080.0,4.0
1 Life Fully Lived,72303.0,359028.0,0.0
1 of Us,192299.0,169205.0,0.0
100 Men in Black Male Chorus Inc,8541.0,62992.0,0.0
0202 Trupartner,151115032.0,7228414.0,46.0
0003 Postal Family,59119229.0,2443053.0,14.0
0005 Wright-Patt Credit Union,4428100680.0,251057600.0,1093.0
0197 Universal 1 Credit Union Inc,416141862.0,21366208.0,131.0
0022 Homeland Credit Union Inc,411760399.0,15574565.0,91.0
0053 Ih Credit Union,296147727.0,15242399.0,69.0
0632 Whitewater Community Credit Union Inc,8239777.0,570101.0,5.0
0827 Daymet Credit Union,92577243.0,5269266.0,27.0
0859 Atrium Credit Union Inc,8869550.0,475230.0,8.0
1024 Montgomery County Credit Union Inc,26502980.0,903539.0,8.0
1030 Edison Credit Union Inc,4144781.0,254246.0,4.0
0987 S C F E Credit Union Inc,997933.0,61921.0,2.0
"10,000 Friends of Pennsylvania",218019.0,443203.0,3.0
1 For Life Ministries,5285.0,7618.0,0.0
1-Day Paint & Body Centers Vacation Pay Plan,0.0,298631.0,0.0
10 Acre Ranch Inc,1026196.0,4050434.0,0.0
1034 Kent Credit Union Inc,0.0,1973621.0,29.0
"100 Black Men of Indianapolis, Inc.",700100.0,921961.0,2.0
10000 Blankets Inc,0.0,0.0,0.0
10 Books A Home,197007.0,352603.0,0.0
10-33 Ambulance Service Limited,1293034.0,1812728.0,44.0
100 Black Men in Chicago Inc,444895.0,480943.0,0.0
100 Black Men of Alton Inc,14883.0,42276.0,0.0
100 Black Men of Madison Inc,319301.0,241779.0,0.0
1000 FRIENDS OF WISCONSIN INC,178524.0,249436.0,3.0
100 For Kids Utah Credit Union Education Foundation,553267.0,109932.0,1.0
100 Black Men,750990.0,169178.0,1.0
100 Men of Blue Hill,4972.0,368791.0,0.0
10-90 Copperstate Foundation Inc,468414.0,151250.0,0.0
1 Million 4 Anna Foundation,1712452.0,543099.0,2.0
1 Body Communities Inc,101885.0,60568.0,1.0
10 HAIRY LEGS,46619.0,318031.0,9.0
100 Entrepreneurs Foundation Inc,140594.0,95223.0,0.0
1026 East Center Street LLC,11368208.0,545842.0,0.0
100PLUS ANIMALRESCUE INC  / dba /    100+ Abandoned Dogs of Everglades Florida,142079.0,566170.0,2.0
"I HAVE A DREAM"" FOUNDATION-IDAHO INC.""",375648.0,278196.0,3.0
10000 Fathers Inc,58832.0,605219.0,7.0
1012 SPORTS INC,58840.0,162564.0,4.0
1 LOVE DOG RESCUE,3999.0,245952.0,0.0
100State Inc,38745.0,353740.0,5.0
100 Squared,517781.0,14562.0,0.0
1004 7Th Avenue Holding Corporation,8077254.0,208819.0,0.0
1 Tribe,0.0,0.0,0.0
100 BLACK MEN OF OMAHA INC,55951.0,298003.0,5.0
1000 Days,3571377.0,2642868.0,19.0
1 San Diego,255265.0,440284.0,0.0
1049 Craft Division Skill Improvement Realty Corp,4108856.0,177961.0,0.0
1000 Generations Inc,322787.0,417943.0,0.0
1 U Project,53636.0,283020.0,0.0
1-2-1 Mentoring,1505.0,24360.0,0.0
007 Benefit Ltd,32166.0,62813.0,0.0
100 Club of Brazoria County,758899.0,45067.0,0.0
1000 Hills Ministry International Inc,205066.0,72505.0,0.0
"1000 Friends of Maryland, Inc.",0.0,261389.0,3.0
100 Percent Recycled Paperboard Alliance Inc,214915.0,419599.0,0.0
100 Black Men of Greater Washington DC Inc,41802.0,128101.0,0.0
1 World Cultural Arts Society,0.0,271167.0,0.0
100 BLACK MEN OF GREATER CHARLOTTE INC,254620.0,156507.0,0.0
100 Women in Hedge Funds Foundation,957480.0,2052453.0,0.0
100 Women in Finance Association Inc,1745097.0,898280.0,5.0
100 BLACK MEN OF ATLANTA INC,1403263.0,1666510.0,8.0
100 Black Men of South Metro Inc,165159.0,257470.0,1.0
"100 Black Men of America, Inc.",4557326.0,3969946.0,16.0
100 Black Men of Middle Tennessee,319325.0,536307.0,1.0
100 Black Men of North Metro Atlanta Inc,192176.0,178554.0,0.0
100 Black Men of West Georgia Inc,122863.0,289345.0,10.0
"1000 Friends of Florida, Inc.",453262.0,229164.0,4.0
100 Black Men of Louisville Inc,37549.0,29338.0,0.0
1040 CONNECTIONS INC,765314.0,472386.0,6.0
100 Black Men of Greater Mobile Inc,304896.0,458730.0,5.0
100 Black Men of Jackson Inc,352563.0,580666.0,9.0
100 PEOPLE FOUNDATION INC,159.0,2.0,0.0
100% College Prep,343597.0,488621.0,15.0
100 Black Men of Metropolitian Baton Rouge,606419.0,531170.0,4.0
100 Black Men of Metro New Orleans Inc.,416921.0,255045.0,2.0
101St Airborne Division Association Inc,1586764.0,488527.0,4.0
101 Veterans Inc,37047.0,350022.0,0.0
100 Black Men of Metropolitan Houston Inc,79077.0,180719.0,0.0
1000 Plus Club To Benefit Cancer Inc,82262.0,100020.0,0.0
101 Gardens,70995.0,97613.0,1.0
"THY WILL BE DONE"" PRODUCTION AND PERFORMANCE FUND INC""",2036.0,245245.0,0.0
1000 Dreams Fund,71626.0,263642.0,0.0
"#WeAreKY!, Inc.",302279.0,40704.0,0.0
10 Talents,121137.0,200807.0,0.0
1050 Mass Ave Investment Inc,50516720.0,1215059.0,0.0
100 Black Men of Greater Orlando Inc,109749.0,446342.0,0.0
10 Talents International,60382.0,99434.0,2.0
