"Org Name","EIN","Current FY Start","Current FY End","Ruling Year","Form Year","Form Type","Address Line 1","Address Line 2","City","State","County",Zip,"Org Phone Number","Web Address","IRS Subsection","Subject Area 1","Subject Area 2","Subject Area 3","NTEE Code","NAICS Code","SIC Code1","SIC Code2","Audit Required?","Has filed 990T?","Paid Preparer Firm Name","Link to GS Profile Page","Link to most recent Form 990","Total Assets","Cash & Equivalent","Investments Securities","Net Assets","Temporarily Restricted Net Assets","Permanently Restricted Net Assets","Unrestricted Net Assets","Total Revenue","Gross Receipts","Investment Income","Total Contributions","Government Grants","Special Events","Sales","Program Services Revenue","Total Liabilities","Loans and Notes","Tax-Exempt Bond Liabilities","Total Expenses","Total Program Expenses","Total Administrative Expenses","Total Fundraising Expenses","Accounting Fees","Advertising Expenses","Information Technology Expenses","Insurance Expenses","Interest Expenses","Investment Management Fees","Legal Fees","Pension Plan Contributions   Employee Benefits","Printing and Publications","Professional Fundraising Expenses","Principal Officer","Org Leader","Primary Contact Name","Primary Contact Title","Primary Contact Email","Number of Employees"
"Connection Fund, Inc.","11-0017051","2017-07-01","2018-06-30","1990","2017","990","955 S Main St","","Middletown","CT","Middlesex",="06457","860-343-5500","http://www.theconnectionfundinc.org","501(c)(3) Public Charity","Community and economic development","Shelter and residential care","Community improvement","L99 (Other Housing, Shelter N.E.C.)","624229","8322","","N","","WHITTLESEY PC","http://www.guidestar.org/profile/11-0017051","http://www.guidestar.org/FinDocuments/2018/110/017/2018-110017051-10410631-9.pdf","$11,383,533","$456,046","","$3,604,074","","","$3,604,074","$10,003,333","$10,013,513","$37,420","$84,810","","$44,265","","$9,836,838","$7,779,459","$6,188,420","","$10,154,429","$9,556,615","$587,634","$10,180","$194,542","","$30,416","$94,866","$203,974","","$217,833","","","$10,180","LISA DEMATTEIS-LEPORE","Peter Nucci ","Heide Erb ","Communications Coordinator","herb@theconnectioninc.org","63"
"Jhd Jr All of Our Children Memorial Fund","11-0025081","","","1990","","","771 Broadway","","Paterson","NJ","Passaic",="07514","","","501(c)(3) Public Charity","Youth services","","","P30 (Children's and Youth Services)","624110","8322","","","","","http://www.guidestar.org/profile/11-0025081","http://www.guidestar.org/FinDocuments/2012/110/025/2012-110025081-09d7376a-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sro Theatre Group Limited","11-0026063","","","1990","","","1045 Carse Rd","","Huntington","VT","Chittenden",="05462","","","501(c)(3) Public Charity","Theater","","","A65 (Theater)","711110","5812","7922","","","","http://www.guidestar.org/profile/11-0026063","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mvnhc Inc","11-0026102","","","1990","","","107 W 4th St","","Mount Vernon","NY","Westchester",="10550","","","501(c)(3) Public Charity","Homeless services","","","P85 (Homeless Services/Centers)","624190","8322","","","","","http://www.guidestar.org/profile/11-0026102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"THE ALFIERO FAMILY CHARITABLE FOUNDATION","11-0036051","2018-01-01","2018-12-31","1990","2018","990PF","100 Corporate Pkwy Ste 130","","Buffalo","NY","Erie",="14226","(716) 783-7118","","501(c)(3) Private Nonoperating Foundation","Foundations","","","T22 (Private Independent Foundations)","813211","6732","","","","","http://www.guidestar.org/profile/11-0036051","http://www.guidestar.org/FinDocuments/2018/110/036/2018-110036051-17149539-F.pdf","$856,938","$356,938","$500,000","$856,938","","","","$470,438","$3,032,236","$367,535","$2,730,661","","","","","$0","","","$2,734,311","","","","$3,400","","","","","","","","","","","Mr. Salvatore Alfiero ","Grace Huff ","CPA","gracehuff.gh@gmail.com",""
"Essex County Arc Facilities Inc","11-0036059","2018-01-01","2018-12-31","1990","2018","990","10 St Patrick Pl","","Port Henry","NY","Essex",="12974","518-546-3051","N/A","501(c)(3) Public Charity","Human services","","","P82 (Developmentally Disabled Services/Centers)","624120","8322","","N","N","Martindale Keysor & Co PLLC","http://www.guidestar.org/profile/11-0036059","http://www.guidestar.org/FinDocuments/2018/110/036/2018-110036059-108e6cd7-9.pdf","$4,258,458","$205,272","$0","$948,913","","","$948,913","$706,595","$706,595","$102","$0","","$0","$0","$706,493","$3,309,545","$1,779,530","$73,315","$577,792","$577,792","$0","$0","$0","$0","$0","$0","$84,069","$0","$0","$0","","$0","","","","","","0"
"Alternate Living Inc","11-0037045","","","1990","","","132 Circuit St","","Hanover","MA","Plymouth",="02339","","","501(c)(3) Private Nonoperating Foundation","Foundations","","","T20 (Private Grantmaking Foundations)","813211","6732","","","","","http://www.guidestar.org/profile/11-0037045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yale Whiffenpoof Alumni Inc","11-0039015","2018-01-01","2018-12-31","2002","2018","990EZ","PO Box 201712","","New Haven","CT","New Haven",="06520","203-745-5011","N/A","501(c)(3) Public Charity","Alumni relations","","","B84 (Alumni Associations)","813410","8641","8699","","","HRB TAX GROUP INC","http://www.guidestar.org/profile/11-0039015","http://www.guidestar.org/FinDocuments/2018/110/039/2018-110039015-1084d807-Z.pdf","$426,730","$426,730","","$426,730","","","","$63,481","$63,481","$9,504","$31,756","","","","$21,729","","","","$66,358","","","","","","","","","","","","$1,397","","","","","","",""
"Crooker Foundation","11-0052007","2018-01-01","2018-12-31","1990","2018","990PF","44 Storer Rd","","Brunswick","ME","Cumberland",="04011","","","501(c)(3) Private Operating Foundation","Foundations","","","T20 (Private Grantmaking Foundations)","813211","6732","","","","","http://www.guidestar.org/profile/11-0052007","http://www.guidestar.org/FinDocuments/2018/110/052/2018-110052007-111dae3c-F.pdf","$337,063","$52,575","","$335,813","","","","$6,791","$13,846","$0","$0","","","","","$1,250","","","$34,600","","","","$750","","","","","","$2,715","","","","","","","","",""
"Cape Elizabeth Light House Foundation Inc","11-0053150","","","1990","","","28 Forest Rd","","Cape Elizabeth","ME","Cumberland",="04107","","","501(c)(3) Public Charity","Foundations","","","T20 (Private Grantmaking Foundations)","813211","6732","","","","","http://www.guidestar.org/profile/11-0053150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Massachusetts Construction Safety Congress Inc","11-0071094","","","1990","","","256 Freeport St","","Dorchester","MA","Suffolk",="02122","","","501(c)(3) Public Charity","Engineering","","","U42 (Engineering)","54171","","","","","","http://www.guidestar.org/profile/11-0071094","http://www.guidestar.org/FinDocuments/2003/110/071/2003-110071094-1-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Society of Hispanic Professional Engineers-Rochester Chapter Inc","11-0080057","","","1990","","","185 Spanish Trl Apt A","","Rochester","NY","Monroe",="14612","","","501(c)(3) Public Charity","Job training","","","J22 (Employment Training)","624310","8331","","","","","http://www.guidestar.org/profile/11-0080057","http://www.guidestar.org/FinDocuments/1999/110/080/1999-110080057-8-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Brotherhood of Carpenters & Joiners of America","11-0082009","","","1970","","","803 Summer St Fl 4","","South Boston","MA","Suffolk",="02127","","","501(c)(5) (Labor, Agricultural and Horticultural Organizations)","Organized labor","","","J40 (Labor Unions/Organizations)","813930","8631","","","","","http://www.guidestar.org/profile/11-0082009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Islip Volunteer Exempt Firemens Benevolent Association","11-0107281","","","2009","","","30 E Main St","","East Islip","NY","Suffolk",="11730","","","501(c)(4) (Civic Leagues and Social Welfare Organizations)","Fire prevention and control","","","M24 (Fire Prevention / Protection / Control)","624230","8322","","","","","http://www.guidestar.org/profile/11-0107281","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Abiding Presence Lutheran Church","11-0108063","","","1988","","","4 Trescott Path","","Northport","NY","Suffolk",="11768","","","501(c)(3) Public Charity","Protestantism","","","X21 (Protestant)","813110","8661","","","","","http://www.guidestar.org/profile/11-0108063","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ocean State Power Uxbridge Comm Foundation Limited","11-0123059","2009-01-01","2009-12-31","1990","2009","990PF","28 Snowling Rd","","Uxbridge","MA","Worcester",="01569","508-278-6250","","501(c)(3) Private Nonoperating Foundation","Education","","","B12 (Fund Raising and/or Fund Distribution)","813219","8399","","","","","http://www.guidestar.org/profile/11-0123059","http://www.guidestar.org/FinDocuments/2010/110/123/2010-110123059-078e6538-F.pdf","$26,222","$26,222","","$26,222","","","","","$30,000","$0","$31,501","","","","","$0","","","$32,528","","","","$950","","","","","","","","","","","","","","",""
"PTA New York Congress","11-0165559","","","1954","","","77 Landau Ave","","Floral Park","NY","Nassau",="11001","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-0165559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"American Legion","11-0194070","2017-01-01","2017-12-31","1946","2017","990EZ","8902 91st St","","Woodhaven","NY","Queens",="11421","718-846-6116","N/A","501(c)(19) (Post or Organizations of War Veterans)","Special population support","","","W30 (Military/Veterans' Organizations)","813410","8641","8699","","","E HARRINGTON CPA","http://www.guidestar.org/profile/11-0194070","http://www.guidestar.org/FinDocuments/2018/110/194/2018-110194070-116114e2-ZO.pdf","$162,821","$111,596","","$162,821","","","","$34,028","$34,028","$46","$2,782","","$0","$0","$0","","","","$25,586","","","","","","","","","","","","$983","","","","","","",""
"Lysander Arena Association, Inc.","11-0233007","","","1990","","","2725 W Entry Rd","","Baldwinsville","NY","Onondaga",="13027","","","501(c)(3) Public Charity","Community recreation","","","N30 (Physical Fitness/Community Recreational Facilities)","713940","7991","7997","","","","http://www.guidestar.org/profile/11-0233007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fragile X Association of New York Inc","11-0233010","","","1994","","","61 Dean St","","Brooklyn","NY","Kings",="11201","","","501(c)(3) Public Charity","Genetic conditions and birth defects","","","G20 (Birth Defects)","813212","8399","","","","","http://www.guidestar.org/profile/11-0233010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Auxiliary To Penobscot County Medical Society","11-0235007","","","1990","","","PO Box 1011","","Bangor","ME","Penobscot",="04402","","","501(c)(3) Public Charity","Health","","","E11 (Single Organization Support)","813219","8399","","","","","http://www.guidestar.org/profile/11-0235007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tanaka Memorial Foundation Inc","11-0235010","2018-07-01","2019-06-30","1991","2018","990PF","888 7th Ave Fl 6","","New York","NY","New York",="10106","212-601-9244","","501(c)(3) Private Nonoperating Foundation","Foundations","","","T20 (Private Grantmaking Foundations)","813211","6732","","","","","http://www.guidestar.org/profile/11-0235010","http://www.guidestar.org/FinDocuments/2019/110/235/2019-110235010-17075911-F.pdf","$15,548,892","$1,827,427","$4,600,169","$15,548,892","","","","$152,330","$152,330","$856,755","$566,000","","","","","$0","","","$776,596","","","","$12,000","","","","","","$4,348","","","","","","","","",""
"Association for the Community Parent Center Inc","11-0275007","2018-07-01","2019-06-30","1991","2018","990EZ","1260 Meadowbrook Rd","","Merrick","NY","Nassau",="11566","516-771-9346","","501(c)(3) Public Charity","Parent education","","","T70 (Fund Raising Organizations That Cross Categories includes Community Funds/Trusts and Federated Giving Programs) e.g. United Way)","813219","8399","","","","KYLE F. LESTER, CPA, PC","http://www.guidestar.org/profile/11-0275007","http://www.guidestar.org/FinDocuments/2019/110/275/2019-110275007-111bd484-Z.pdf","$90,003","$90,003","","$88,378","","","","$148,408","$148,408","","$148,408","","","","","$1,625","","","$186,977","","","","","","","","","","","","","","","","","","",""
"The Korean Fellowship Association of Greater Albany Area Inc","11-0298002","","","1991","","","15 Hyland Cir","","Troy","NY","Rensselaer",="12182","","","501(c)(3) Public Charity","Cultural awareness","","","A23 (Cultural, Ethnic Awareness)","71","","","","","","http://www.guidestar.org/profile/11-0298002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rome Sports Hall of Fame C/O William Fleet","11-0302011","","","1991","","","Rome City Hall","","Rome","NY","Oneida",="13440","","","501(c)(3) Public Charity","Museums","","","A50 (Museum & Museum Activities)","712110","8412","","","","","http://www.guidestar.org/profile/11-0302011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bayview Baptist Church Inc","11-0303073","","","1994","","","72 Neighborhood Rd","","Mastic Beach","NY","Suffolk",="11951","","","501(c)(3) Public Charity","Protestantism","","","X21 (Protestant)","813110","8661","","","","","http://www.guidestar.org/profile/11-0303073","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Woodmere Merchants Association C/O Gittleson and Herman LLP","11-0307191","","","1997","","","154 Franklin Pl","","Woodmere","NY","Nassau",="11598","","","501(c)(6) (Business Leagues, etc.)","Community and economic development","","","S03 (Professional Societies, Associations)","813920","8621","","","","","http://www.guidestar.org/profile/11-0307191","http://www.guidestar.org/FinDocuments/2007/110/307/2007-110307191-036dc809-9O.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ancient Order of Hibernians Ladies","11-0308451","","","1941","","","2 Leaman Pl","","Lynbrook","NY","Nassau",="11563","","","501(c)(8) (Fraternal Beneficiary Societies)","Cultural awareness","","","A23 (Cultural, Ethnic Awareness)","71","","","","","","http://www.guidestar.org/profile/11-0308451","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The Urban Assembly, Inc.","11-0332039","2017-09-01","2018-08-31","1991","2017","990","90 Broad St Ste 2101","","New York","NY","New York",="10004","(212) 28673060","http://urbanassembly.org/","501(c)(3) Public Charity","Elementary and secondary education","Out-of-school learning","College preparation","S31 (Urban, Community)","813410","8641","8699","N","Y","CONDON O'MEARA MCGINTY & DONNELLY LLP","http://www.guidestar.org/profile/11-0332039","http://www.guidestar.org/FinDocuments/2018/110/332/2018-110332039-10f9692b-9.pdf","$2,165,941","$1,443,600","","$1,655,098","$1,881,830","","-$226,732","$5,242,311","$5,324,156","$2,637","$3,659,872","","$52,613","","$1,527,189","$510,843","$0","","$5,087,805","$3,434,248","$1,320,417","$333,140","$113,026","$5,527","$42,970","$9,809","","","","$18,421","","$10,492","KRISTEN KEARNS-JORDAN","Richard Kahan ","Jeremy Gough ","","jgough@urbanassembly.org","115"
"Epode Inc","11-0339104","2015-09-01","2016-08-31","1991","2017","990EZ","77 7th Ave","","New York","NY","New York",="10011","212-989-7989","","501(c)(3) Public Charity","Dance","","","A62 (Dance)","711120","7922","","","N","","http://www.guidestar.org/profile/11-0339104","http://www.guidestar.org/FinDocuments/2016/110/339/2016-110339104-0f6f1c0e-Z.pdf","$6","$6","","$6","","","","$40","","","$40","","$0","","","","","","$241","","","","","","","","","","","","","","","","","","",""
"Henry and Carol Stadler Charitable","11-0339106","","","1991","","","PO Box 2129","","Fort Devens","MA","",="01433","","","501(c)(3) Private Nonoperating Foundation","Foundations","","","T20 (Private Grantmaking Foundations)","813211","6732","","","","","http://www.guidestar.org/profile/11-0339106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Manhattan Group for Equal Access C/O Epstein Hus & Well","11-0339107","","","1991","","","225 Broadway Rm 1203","","New York","NY","New York",="10007","","","501(c)(3) Public Charity","Education","","","B19 (Nonmonetary Support N.E.C.)","813219","8399","","","","","http://www.guidestar.org/profile/11-0339107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greater Holyoke Chamber Centennial Foundation Inc","11-0339109","2017-07-01","2018-06-30","1991","2017","990","177 High St","","Holyoke","MA","Hampden",="01040","413-534-3376","N/A","501(c)(3) Public Charity","Business promotion","","","J20 (Employment Procurement Assistance and Job Training)","624310","8331","","N","","WHITTLESEY PC","http://www.guidestar.org/profile/11-0339109","http://www.guidestar.org/FinDocuments/2018/110/339/2018-110339109-10d2c71c-9.pdf","$418,389","$6,064","$273,934","$132,481","$0","","$132,481","$749,682","$1,160,244","$10,064","$187,286","","","","$458,890","$285,908","$160,352","","$1,041,030","$849,442","$191,588","$0","$30,789","","","$5,853","$5,137","","","","","","BARRY FEINGOLD","","","","","18"
"The Rhode Island Veterans Memorial Cemetery Endowment","11-0340033","","","1991","","","250 Prairie Ave","","Providence","RI","Providence",="02905","","","501(c)(3) Public Charity","Historical activities","","","A80 (Historical Societies and Related Activities)","712120","8412","","","","","http://www.guidestar.org/profile/11-0340033","http://www.guidestar.org/FinDocuments/2003/110/340/2003-110340033-1-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ohel Sholmo Dov","11-0340116","","","1991","","","1153 55th St","","Brooklyn","NY","Kings",="11219","","","501(c)(3) Public Charity","Religion","","","X99 (Religion Related, Spiritual Development N.E.C.)","813110","8661","","","","","http://www.guidestar.org/profile/11-0340116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"International Union of Painters and Allied Trades","11-0353356","","","1941","","","585 Aero Dr","","Buffalo","NY","Erie",="14225","","","501(c)(5) (Labor, Agricultural and Horticultural Organizations)","Community and economic development","","","S99 (Community Improvement, Capacity Building N.E.C.)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-0353356","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cherry Creek School District Parent Teacher Community Council Inc","11-0357300","","","1993","","","1433 S Oakland St","","Aurora","CO","Arapahoe",="80012","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-0357300","http://www.guidestar.org/FinDocuments/2010/110/357/2010-110357300-069b4012-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shriners International","11-0457130","2018-01-01","2018-12-31","1940","2018","990","PO Box 834","","Hicksville","NY","Nassau",="11802","516-513-1266","N/A","501(c)(10) (Domestic Fraternal Societies)","Business and industry","","","Y42 (Domestic Fraternal Societies)","813410","8641","8699","N","","GIBISER & GIBISER CPA'S PC","http://www.guidestar.org/profile/11-0457130","http://www.guidestar.org/FinDocuments/2018/110/457/2018-110457130-17058507-9O.pdf","$1,305,274","$65,208","$433,872","$1,251,121","$61,124","","$1,189,997","$104,262","$165,087","$16,983","$37,634","","$1,881","","$48,468","$54,153","$0","","$143,692","$0","$0","$0","$6,850","$2,813","","","","$3,230","","","","","RUSSELL MAGIDSON","","","","","0"
"A & M Consolidated Choirs Booster Club Inc","11-0474147","2018-07-01","2019-06-30","2016","2018","990EZ","1801 Harvey Mitchell Pkwy S","","College Station","TX","Brazos",="77840","979-764-5500","","501(c)(3) Public Charity","Secondary education","","","I11 (Single Organization Support)","813219","8399","","","N","","http://www.guidestar.org/profile/11-0474147","http://www.guidestar.org/FinDocuments/2019/110/474/2019-110474147-17099344-Z.pdf","$11,426","$11,426","","$11,426","","","","$31,157","$40,197","$0","$8,686","","$22,471","","$0","$0","","","$25,146","","","","","","","","","","","","","","","","","","",""
"Amalgated Transit Union","11-0476097","2018-01-01","2018-12-31","1940","2018","990","211-12 Union Turnpike  Oakland Gardens Ny 11364-3261","","Oakland Gardens","NY","Queens",="11364","718-949-6444","","501(c)(5) (Labor, Agricultural and Horticultural Organizations)","Organized labor","","","J40 (Labor Unions/Organizations)","813930","8631","","N","","Howard L. Werbrock CPA","http://www.guidestar.org/profile/11-0476097","http://www.guidestar.org/FinDocuments/2018/110/476/2018-110476097-17128397-9O.pdf","$2,285,662","$273,194","","$2,247,974","","","","$2,004,662","$2,004,662","$709","$1,712,213","","","","$291,740","$37,688","$0","","$1,632,958","$1,632,958","$0","$0","$15,975","","","$6,929","","","$53,949","","","","MARK HENRY","","","","","31"
"Amityville Cemetery Association","11-0479870","2018-01-01","2018-12-31","1943","2018","990","1a Saltbox Path","","Amityville","NY","Suffolk",="11701","631-264-3317","","501(c)(13) (Cemetery Companies)","Cemeteries and burial services","","","Y50 (Cemeteries and Burial Services)","812220","6531","6553","","","HOGAN & GRAHAM","http://www.guidestar.org/profile/11-0479870","http://www.guidestar.org/FinDocuments/2018/110/479/2018-110479870-10d3a90d-9O.pdf","$10,553,423","$405,971","$9,764,878","$10,551,863","","$6,951,149","$3,600,714","$1,203,866","$3,695,403","$332,299","","","","","$487,824","$1,560","$0","","$732,820","$486,612","$246,208","$0","$6,650","","","$13,271","","","","$1,145","","","","","","","","2"
"Arion Singing Society","11-0488780","","","1946","","","5717 Catalpa Ave","","Ridgewood","NY","Queens",="11385","","","501(c)(4) (Civic Leagues and Social Welfare Organizations)","Vocal music","","","A6B (Singing Choral)","711130","7929","","","","","http://www.guidestar.org/profile/11-0488780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Association of Lithuanian Workers","11-0493690","","","1961","","","61 Batterymarch St","","Boston","MA","Suffolk",="02110","","","501(c)(8) (Fraternal Beneficiary Societies)","Business and industry","","","Y40 (Fraternal Beneficiary Societies)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-0493690","http://www.guidestar.org/FinDocuments/2004/110/493/2004-110493690-01a5c8bd-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"International Brotherhood of Electrical Workers","11-0502155","2018-01-01","2018-12-31","1940","2018","990","100 Corporate Dr","","Holtsville","NY","Suffolk",="11742","631-234-1800","IBEW1049.ORG","501(c)(5) (Labor, Agricultural and Horticultural Organizations)","Organized labor","","","J40 (Labor Unions/Organizations)","813930","8631","","N","N","Gould Kobrick & Schlapp PC","http://www.guidestar.org/profile/11-0502155","http://www.guidestar.org/FinDocuments/2018/110/502/2018-110502155-17151681-9O.pdf","$4,941,609","$1,785,073","$3,032,671","$4,941,609","","","$4,941,609","$4,470,355","$5,629,534","$150,422","$0","","$11,613","-$964","$4,255,580","$0","$0","","$3,914,061","$0","$0","$0","$20,000","$0","$27,913","$18,522","$0","$0","$18,890","$246,198","","$0","RONALD BAUER","","","","","48"
