Org Name,EIN,Current FY Start,Current FY End,Ruling Year,Form Year,Form Type,Address Line 1,Address Line 2,City,State,County,Zip,Org Phone Number,Web Address,IRS Subsection,Subject Area 1,Subject Area 2,Subject Area 3,NTEE Code,NAICS Code,SIC Code1,SIC Code2,Audit Required?,Has filed 990T?,Paid Preparer Firm Name,Link to GS Profile Page,Link to most recent Form 990,Total Assets,Cash & Equivalent,Investments Securities,Net Assets,Temporarily Restricted Net Assets,Permanently Restricted Net Assets,Unrestricted Net Assets,Total Revenue,Gross Receipts,Investment Income,Total Contributions,Government Grants,Special Events,Sales,Program Services Revenue,Total Liabilities,Loans and Notes,Tax-Exempt Bond Liabilities,Total Expenses,Total Program Expenses,Total Administrative Expenses,Total Fundraising Expenses,Accounting Fees,Advertising Expenses,Information Technology Expenses,Insurance Expenses,Interest Expenses,Investment Management Fees,Legal Fees,Pension Plan Contributions   Employee Benefits,Printing and Publications,Professional Fundraising Expenses,Principal Officer,Org Leader,Primary Contact Name,Primary Contact Title,Primary Contact Email,Number of Employees
010-323 Franklin Elem School PTA,11-6037894,,,1954,,,335 S Franklin St,,Hempstead,NY,Nassau,11550,,,501(c)(3) Public Charity,Parent-teacher involvement,,,B94 (Parent Teacher Group),813410,8641,8699,,,,http://www.guidestar.org/profile/11-6037894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Orchard Street Housing Development Fund CO Inc,13-2683270,5/1/2018,4/30/2019,1984,2018,990EZ,C/O CHMC 5 WEST MAIN STREET,,ELMSFORD,NY,Westchester,10523,914-592-5434,N/A,501(c)(3) Public Charity,Housing development,,,"L20 (Housing Development, Construction, Management)",624229,8322,,,N,PALMETTO MOLLO MOLINARO & PASSARELLO LLP,http://www.guidestar.org/profile/13-2683270,http://www.guidestar.org/FinDocuments/2019/132/683/2019-132683270-1116d2fb-Z.pdf,"$257,089 ","$195,896 ",,"$244,979 ",,,,"$129,167 ","$129,167 ",$102 ,"$67,127 ",,,,"$61,938 ","$12,110 ",,,"$81,192 ",,,,,,,,,,,,,,,,,,,
101St Street Parents Development Fund,13-2769013,,,1974,,,251 W 100th St,,New York,NY,New York,10025,,,501(c)(3) Public Charity,Foundations,,,T20 (Private Grantmaking Foundations),813211,6732,,,,,http://www.guidestar.org/profile/13-2769013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023 Longwood Avenue Housing Development Fund Corporation,13-3147136,7/1/2008,6/30/2009,1988,2008,990EZ,5925 Broadway,,Bronx,NY,Bronx,10463,,,501(c)(3) Public Charity,Housing development,,,"L20 (Housing Development, Construction, Management)",624229,8322,,,,,http://www.guidestar.org/profile/13-3147136,http://www.guidestar.org/FinDocuments/2012/133/147/2012-133147136-094f97a0-Z.pdf,"$121,677 ","$64,632 ",,"($57,038)",,,,"$154,844 ","$154,844 ",$0 ,$0 ,,$0 ,$0 ,"$154,844 ","$178,715 ",,,"$213,254 ",,,,,,,,,,,,$0 ,,,,,,,
"I Have A Dream"" Foundation""",13-3355315,9/1/2017,8/31/2018,1995,2017,990,322 8th Ave Ste 202,,New York,NY,New York,10001,(212) 22935484,www.ihavedreamfoundation.org,501(c)(3) Public Charity,Elementary and secondary education,Education services,Youth organizing,O50 (Youth Development Programs),813410,8641,8699,N,Y,SCHWARTZ & COMPANY LLP,http://www.guidestar.org/profile/13-3355315,http://www.guidestar.org/FinDocuments/2018/133/355/2018-133355315-11103606-9.pdf,"$3,183,897 ","$468,718 ","$2,536,412 ","$2,812,977 ","$2,559,220 ",,"$253,757 ","$1,673,033 ","$4,065,880 ","$82,040 ","$848,333 ",,"$608,953 ",,"$72,429 ","$370,920 ",$0 ,,"$2,911,790 ","$2,035,272 ","$435,630 ","$440,888 ","$79,366 ",,,"$36,437 ",,,"$160,343 ",,,,LLEWELLYN HADEN,Mrs. Eugena Oh ,Ms. Tamara Tucker ,Senior Director of Development ,ttucker@ihaveadreamfoundation.org,17
10 Penny Productions Inc,13-3634904,,,1992,,,51 W 81st St Apt 2a,,New York,NY,New York,10024,,,501(c)(3) Private Nonoperating Foundation,Performing arts,,,A60 (Performing Arts),7111,,,,,,http://www.guidestar.org/profile/13-3634904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026-28 Cauldwell Avenue Housing Development Fund Corporation,13-3671908,,,1993,,,1199 Fulton Ave Apt 1b,,Bronx,NY,Bronx,10456,,,501(c)(3) Public Charity,Housing development,,,"L20 (Housing Development, Construction, Management)",624229,8322,,,,,http://www.guidestar.org/profile/13-3671908,http://www.guidestar.org/FinDocuments/2003/133/671/2003-133671908-1-9.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100Th Street Concerts Association Incorporated,13-3679579,,,1992,,,164 West 1ooth Street,,New York,NY,New York,10009,,,501(c)(3) Private Nonoperating Foundation,Music,,,A68 (Music),711130,7929,,,,,http://www.guidestar.org/profile/13-3679579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 W 33 St Holding Corp,13-3732472,12/1/2018,11/30/2019,1993,2018,990,Wsb 1411 Broadway 9th Floor,,New York,NY,New York,10018,212-751-9100,N/A,501(c)(2) (Title Holding Corporation),Real estate,,,S47 (Real Estate Organizations),531390,6531,,,,WITHUMSMITHBROWN PC,http://www.guidestar.org/profile/13-3732472,http://www.guidestar.org/FinDocuments/2018/133/732/2018-133732472-10749177-9O.pdf,"$5,716,801 ",$0 ,$0 ,"$5,716,801 ",,,,"$857,238 ","$857,238 ",$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$853,875 ","$853,875 ",,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,HIRSCHELL LEVINE,,,,,0
100 Hispanic Women Inc,13-3831889,1/1/2018,12/31/2018,1999,2018,990,413 E 120th St Ste 314,,New York,NY,New York,10035,845-893-1398,NANCYG100HW@GMAIL.COM,501(c)(3) Public Charity,Leadership development,Community and economic development,,"S80 (Community Service Clubs (Kiwanis, Lions, Jaycees, etc.))",813410,8641,8699,N,N,THOMAS L TORELLI CPA,http://www.guidestar.org/profile/13-3831889,http://www.guidestar.org/FinDocuments/2018/133/831/2018-133831889-16996492-9.pdf,"$288,008 ","$279,458 ",,"$288,008 ",,,,"$77,327 ","$77,327 ","$1,315 ","$76,012 ",,$0 ,$0 ,$0 ,$0 ,$0 ,,"$116,428 ","$116,428 ",$0 ,$0 ,$0 ,$0 ,$0 ,$899 ,$0 ,$0 ,$0 ,$0 ,,$0 ,NANCY GENOVA,,,,,0
1035 Broadway Housing Development Fund Company Inc,13-3870736,1/1/2018,12/31/2018,2014,2018,990,86 SMITH AVE,,MOUNT KISCO,NY,Westchester,10549,914-741-0740,N/A,501(c)(3) Public Charity,Housing development,Shelter and residential care,,L21 (Public Housing),531110,6513,6514,N,,NOVOGRADAC & COMPANY LLP,http://www.guidestar.org/profile/13-3870736,http://www.guidestar.org/FinDocuments/2018/133/870/2018-133870736-17114803-9.pdf,"$602,940 ","$81,650 ",,"($120,128)",,,,"$97,188 ","$97,188 ",$241 ,,,,,"$96,947 ","$723,068 ","$713,934 ",,"$109,803 ","$109,803 ",$0 ,$0 ,"$1,050 ",,,"$2,976 ","$22,825 ",,$615 ,,,,DEBBIE HAGLUND,,,,,0
100 East 182Nd Street Housing Development Fund Company Inc,13-3881096,1/1/2018,12/31/2018,2012,2018,990,2751 Grand Concourse,,Bronx,NY,Bronx,10468,718-367-3200,N/A,501(c)(3) Public Charity,Public housing,,,L21 (Public Housing),531110,6513,6514,N,,WITHUMSMITHBROWN PC,http://www.guidestar.org/profile/13-3881096,http://www.guidestar.org/FinDocuments/2018/133/881/2018-133881096-17032936-9.pdf,"$528,813 ","$33,694 ",$0 ,"$475,155 ",$0 ,$0 ,"$475,155 ","$363,181 ","$363,181 ",$0 ,$0 ,,$0 ,$0 ,"$363,181 ","$53,658 ",$0 ,$0 ,"$374,776 ","$355,944 ","$18,832 ",$0 ,$0 ,$0 ,$0 ,"$25,968 ",$0 ,$0 ,"$21,068 ",$0 ,,$0 ,JOHN M REILLY,,,,,0
1055 College Avenue Housing Development Fund Corp,13-3998578,1/1/2018,12/31/2018,1999,2018,990,660 E 183rd St,,Bronx,NY,Bronx,10458,718-295-2882,WWW.BELMONTARTHURLDC.COM,501(c)(3) Public Charity,Education,,,B11 (Single Organization Support),813219,8399,,N,,,http://www.guidestar.org/profile/13-3998578,http://www.guidestar.org/FinDocuments/2017/133/998/2017-133998578-1012c9bd-9.pdf,"$769,032 ","$503,040 ",$0 ,"$194,111 ",,,"$194,111 ","$301,280 ","$301,280 ",$147 ,$0 ,$0 ,$0 ,$0 ,"$301,133 ","$574,921 ",$0 ,,"$259,895 ","$200,614 ","$59,281 ",$0 ,"$2,748 ",$358 ,"$1,074 ","$10,006 ",$0 ,$0 ,"$10,007 ",$0 ,,$0 ,CONSOLATO CICCIU,,,,,0
1051 College Avenue Housing Development Fund Corp,13-3998583,1/1/2018,12/31/2018,1999,2018,990,660 E 183rd St,,Bronx,NY,Bronx,10458,718-295-2882,WWW.BELMONTARTHURLDC.COM,501(c)(3) Public Charity,Education,,,B11 (Single Organization Support),813219,8399,,N,,,http://www.guidestar.org/profile/13-3998583,http://www.guidestar.org/FinDocuments/2017/133/998/2017-133998583-1012c08d-9.pdf,"$437,632 ","$143,720 ",$0 ,"($139,538)",,,"($139,538)","$292,239 ","$292,239 ",$17 ,$0 ,$0 ,$0 ,$0 ,"$292,222 ","$577,170 ",$0 ,,"$276,516 ","$205,066 ","$71,450 ",$0 ,"$2,748 ",$358 ,"$1,074 ","$14,105 ",$0 ,$0 ,"$11,174 ",$0 ,,$0 ,,,,,,0
